mmapLog,0,524288,1, 524288 , 547 , 1
mmapLog,0,524288,1, 524288 , 546 , 1
mmapLog,0,524288,1, 524288 , 565 , 1
mmapLog,0,524288,1, 524288 , 562 , 1
mmapLog,0,524288,1, 524288 , 537 , 1
mmapLog,0,524288,2, 1048576 , 515 , 1
mmapLog,0,524288,2, 1048576 , 502 , 1
mmapLog,0,524288,2, 1048576 , 529 , 1
mmapLog,0,524288,2, 1048576 , 518 , 1
mmapLog,0,524288,2, 1048576 , 532 , 1
mmapLog,0,524288,4, 2097152 , 525 , 1
mmapLog,0,524288,4, 2097152 , 484 , 1
mmapLog,0,524288,4, 2097152 , 502 , 1
mmapLog,0,524288,4, 2097152 , 518 , 1
mmapLog,0,524288,4, 2097152 , 537 , 1
mmapLog,0,524288,8, 4194304 , 507 , 1
mmapLog,0,524288,8, 4194304 , 528 , 1
mmapLog,0,524288,8, 4194304 , 519 , 1
mmapLog,0,524288,8, 4194304 , 479 , 1
mmapLog,0,524288,8, 4194304 , 476 , 1
mmapLog,0,524288,16, 8388608 , 486 , 1
mmapLog,0,524288,16, 8388608 , 507 , 1
mmapLog,0,524288,16, 8388608 , 479 , 1
mmapLog,0,524288,16, 8388608 , 495 , 1
mmapLog,0,524288,16, 8388608 , 497 , 1
mmapLog,0,524288,32, 16777216 , 489 , 1
mmapLog,0,524288,32, 16777216 , 470 , 1
mmapLog,0,524288,32, 16777216 , 513 , 1
mmapLog,0,524288,32, 16777216 , 528 , 1
mmapLog,0,524288,32, 16777216 , 494 , 1
mmapLog,0,524288,64, 33554432 , 478 , 1
mmapLog,0,524288,64, 33554432 , 489 , 1
mmapLog,0,524288,64, 33554432 , 484 , 1
mmapLog,0,524288,64, 33554432 , 467 , 1
mmapLog,0,524288,64, 33554432 , 444 , 1
mmapLog,0,524288,128, 67108864 , 362 , 1
mmapLog,0,524288,128, 67108864 , 385 , 1
mmapLog,0,524288,128, 67108864 , 359 , 1
mmapLog,0,524288,128, 67108864 , 376 , 1
mmapLog,0,524288,128, 67108864 , 383 , 1
mmapLog,0,524288,256, 134217728 , 335 , 1
mmapLog,0,524288,256, 134217728 , 335 , 1
mmapLog,0,524288,256, 134217728 , 329 , 1
mmapLog,0,524288,256, 134217728 , 354 , 1
mmapLog,0,524288,256, 134217728 , 354 , 1
mmapLog,0,524288,512, 268435456 , 331 , 1
mmapLog,0,524288,512, 268435456 , 335 , 1
mmapLog,0,524288,512, 268435456 , 316 , 1
mmapLog,0,524288,512, 268435456 , 320 , 1
mmapLog,0,524288,512, 268435456 , 289 , 1
mmapLog,0,524288,1, 524288 , 687 , 2
mmapLog,0,524288,1, 524288 , 641 , 2
mmapLog,0,524288,1, 524288 , 654 , 2
mmapLog,0,524288,1, 524288 , 701 , 2
mmapLog,0,524288,1, 524288 , 694 , 2
mmapLog,0,524288,2, 1048576 , 660 , 2
mmapLog,0,524288,2, 1048576 , 608 , 2
